// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/evgenijterehin/RiderProjects/ConsoleApp1/ArraysBenchmark/bin/Release/netcoreapp3.0/74c1dfe0-2685-4865-a2ed-2c976b43cfb2
// command took 1.01s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/evgenijterehin/RiderProjects/ConsoleApp1/ArraysBenchmark/bin/Release/netcoreapp3.0/74c1dfe0-2685-4865-a2ed-2c976b43cfb2
// command took 1.81s and exited with 0
// ***** Done, took 00:00:02 (2.93 sec)   *****
// Found 2 benchmarks:
//   CompareArrayBuilderAndToList.ToListClasses: DefaultJob [_count=100000]
//   CompareArrayBuilderAndToList.BuildMyListClasses: DefaultJob [_count=100000]

// **************************
// Benchmark: CompareArrayBuilderAndToList.ToListClasses: DefaultJob [_count=100000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "74c1dfe0-2685-4865-a2ed-2c976b43cfb2.dll" --benchmarkName "ConsoleApp1.CompareArrayBuilderAndToList.ToListClasses(_count: 100000)" --job "Default" --benchmarkId 0 in /Users/evgenijterehin/RiderProjects/ConsoleApp1/ArraysBenchmark/bin/Release/netcoreapp3.0/74c1dfe0-2685-4865-a2ed-2c976b43cfb2/bin/Release/netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 317801.00 ns, 317.8010 us/op
WorkloadJitting  1: 1 op, 6570640.00 ns, 6.5706 ms/op

OverheadJitting  2: 16 op, 272811.00 ns, 17.0507 us/op
WorkloadJitting  2: 16 op, 133396408.00 ns, 8.3373 ms/op

WorkloadPilot    1: 16 op, 129984191.00 ns, 8.1240 ms/op
WorkloadPilot    2: 32 op, 240675336.00 ns, 7.5211 ms/op
WorkloadPilot    3: 64 op, 430055965.00 ns, 6.7196 ms/op
WorkloadPilot    4: 128 op, 806581634.00 ns, 6.3014 ms/op

OverheadWarmup   1: 128 op, 3057.00 ns, 23.8828 ns/op
OverheadWarmup   2: 128 op, 562.00 ns, 4.3906 ns/op
OverheadWarmup   3: 128 op, 527.00 ns, 4.1172 ns/op
OverheadWarmup   4: 128 op, 519.00 ns, 4.0547 ns/op
OverheadWarmup   5: 128 op, 509.00 ns, 3.9766 ns/op
OverheadWarmup   6: 128 op, 451.00 ns, 3.5234 ns/op
OverheadWarmup   7: 128 op, 462.00 ns, 3.6094 ns/op
OverheadWarmup   8: 128 op, 440.00 ns, 3.4375 ns/op
OverheadWarmup   9: 128 op, 533.00 ns, 4.1641 ns/op
OverheadWarmup  10: 128 op, 459.00 ns, 3.5859 ns/op

OverheadActual   1: 128 op, 565.00 ns, 4.4141 ns/op
OverheadActual   2: 128 op, 529.00 ns, 4.1328 ns/op
OverheadActual   3: 128 op, 525.00 ns, 4.1016 ns/op
OverheadActual   4: 128 op, 552.00 ns, 4.3125 ns/op
OverheadActual   5: 128 op, 510.00 ns, 3.9844 ns/op
OverheadActual   6: 128 op, 443.00 ns, 3.4609 ns/op
OverheadActual   7: 128 op, 443.00 ns, 3.4609 ns/op
OverheadActual   8: 128 op, 542.00 ns, 4.2344 ns/op
OverheadActual   9: 128 op, 458.00 ns, 3.5781 ns/op
OverheadActual  10: 128 op, 451.00 ns, 3.5234 ns/op
OverheadActual  11: 128 op, 444.00 ns, 3.4688 ns/op
OverheadActual  12: 128 op, 469.00 ns, 3.6641 ns/op
OverheadActual  13: 128 op, 472.00 ns, 3.6875 ns/op
OverheadActual  14: 128 op, 446.00 ns, 3.4844 ns/op
OverheadActual  15: 128 op, 452.00 ns, 3.5312 ns/op
OverheadActual  16: 128 op, 468.00 ns, 3.6562 ns/op
OverheadActual  17: 128 op, 474.00 ns, 3.7031 ns/op
OverheadActual  18: 128 op, 527.00 ns, 4.1172 ns/op
OverheadActual  19: 128 op, 527.00 ns, 4.1172 ns/op
OverheadActual  20: 128 op, 455.00 ns, 3.5547 ns/op

WorkloadWarmup   1: 128 op, 808968493.00 ns, 6.3201 ms/op
WorkloadWarmup   2: 128 op, 805543272.00 ns, 6.2933 ms/op
WorkloadWarmup   3: 128 op, 820375680.00 ns, 6.4092 ms/op
WorkloadWarmup   4: 128 op, 819572699.00 ns, 6.4029 ms/op
WorkloadWarmup   5: 128 op, 813283629.00 ns, 6.3538 ms/op
WorkloadWarmup   6: 128 op, 856405448.00 ns, 6.6907 ms/op
WorkloadWarmup   7: 128 op, 828346357.00 ns, 6.4715 ms/op

// BeforeActualRun
WorkloadActual   1: 128 op, 815524452.00 ns, 6.3713 ms/op
WorkloadActual   2: 128 op, 829492734.00 ns, 6.4804 ms/op
WorkloadActual   3: 128 op, 818177404.00 ns, 6.3920 ms/op
WorkloadActual   4: 128 op, 815632826.00 ns, 6.3721 ms/op
WorkloadActual   5: 128 op, 800329550.00 ns, 6.2526 ms/op
WorkloadActual   6: 128 op, 808138411.00 ns, 6.3136 ms/op
WorkloadActual   7: 128 op, 799225600.00 ns, 6.2439 ms/op
WorkloadActual   8: 128 op, 804963258.00 ns, 6.2888 ms/op
WorkloadActual   9: 128 op, 808857923.00 ns, 6.3192 ms/op
WorkloadActual  10: 128 op, 822133829.00 ns, 6.4229 ms/op
WorkloadActual  11: 128 op, 792672133.00 ns, 6.1928 ms/op
WorkloadActual  12: 128 op, 827449096.00 ns, 6.4644 ms/op
WorkloadActual  13: 128 op, 798119979.00 ns, 6.2353 ms/op
WorkloadActual  14: 128 op, 796018541.00 ns, 6.2189 ms/op
WorkloadActual  15: 128 op, 798751086.00 ns, 6.2402 ms/op

// AfterActualRun
WorkloadResult   1: 128 op, 815523981.50 ns, 6.3713 ms/op
WorkloadResult   2: 128 op, 829492263.50 ns, 6.4804 ms/op
WorkloadResult   3: 128 op, 818176933.50 ns, 6.3920 ms/op
WorkloadResult   4: 128 op, 815632355.50 ns, 6.3721 ms/op
WorkloadResult   5: 128 op, 800329079.50 ns, 6.2526 ms/op
WorkloadResult   6: 128 op, 808137940.50 ns, 6.3136 ms/op
WorkloadResult   7: 128 op, 799225129.50 ns, 6.2439 ms/op
WorkloadResult   8: 128 op, 804962787.50 ns, 6.2888 ms/op
WorkloadResult   9: 128 op, 808857452.50 ns, 6.3192 ms/op
WorkloadResult  10: 128 op, 822133358.50 ns, 6.4229 ms/op
WorkloadResult  11: 128 op, 792671662.50 ns, 6.1927 ms/op
WorkloadResult  12: 128 op, 827448625.50 ns, 6.4644 ms/op
WorkloadResult  13: 128 op, 798119508.50 ns, 6.2353 ms/op
WorkloadResult  14: 128 op, 796018070.50 ns, 6.2189 ms/op
WorkloadResult  15: 128 op, 798750615.50 ns, 6.2402 ms/op
GC:  127 63 63 882894520 128
Threading:  2 0 128

// AfterAll
// Benchmark Process 14700 has exited with code 0

Mean = 6.3206 ms, StdErr = 0.0238 ms (0.38%); N = 15, StdDev = 0.0922 ms
Min = 6.1927 ms, Q1 = 6.2402 ms, Median = 6.3136 ms, Q3 = 6.3920 ms, Max = 6.4804 ms
IQR = 0.1518 ms, LowerFence = 6.0126 ms, UpperFence = 6.6197 ms
ConfidenceInterval = [6.2220 ms; 6.4191 ms] (CI 99.9%), Margin = 0.0986 ms (1.56% of Mean)
Skewness = 0.31, Kurtosis = 1.62, MValue = 2

// **************************
// Benchmark: CompareArrayBuilderAndToList.BuildMyListClasses: DefaultJob [_count=100000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "74c1dfe0-2685-4865-a2ed-2c976b43cfb2.dll" --benchmarkName "ConsoleApp1.CompareArrayBuilderAndToList.BuildMyListClasses(_count: 100000)" --job "Default" --benchmarkId 1 in /Users/evgenijterehin/RiderProjects/ConsoleApp1/ArraysBenchmark/bin/Release/netcoreapp3.0/74c1dfe0-2685-4865-a2ed-2c976b43cfb2/bin/Release/netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 547267.00 ns, 547.2670 us/op
WorkloadJitting  1: 1 op, 6946522.00 ns, 6.9465 ms/op

OverheadJitting  2: 16 op, 251686.00 ns, 15.7304 us/op
WorkloadJitting  2: 16 op, 118412194.00 ns, 7.4008 ms/op

WorkloadPilot    1: 16 op, 94459584.00 ns, 5.9037 ms/op
WorkloadPilot    2: 32 op, 193337283.00 ns, 6.0418 ms/op
WorkloadPilot    3: 64 op, 392517007.00 ns, 6.1331 ms/op
WorkloadPilot    4: 128 op, 795328180.00 ns, 6.2135 ms/op

OverheadWarmup   1: 128 op, 2825.00 ns, 22.0703 ns/op
OverheadWarmup   2: 128 op, 514.00 ns, 4.0156 ns/op
OverheadWarmup   3: 128 op, 503.00 ns, 3.9297 ns/op
OverheadWarmup   4: 128 op, 500.00 ns, 3.9062 ns/op
OverheadWarmup   5: 128 op, 496.00 ns, 3.8750 ns/op
OverheadWarmup   6: 128 op, 564.00 ns, 4.4062 ns/op
OverheadWarmup   7: 128 op, 520.00 ns, 4.0625 ns/op
OverheadWarmup   8: 128 op, 461.00 ns, 3.6016 ns/op
OverheadWarmup   9: 128 op, 435.00 ns, 3.3984 ns/op
OverheadWarmup  10: 128 op, 568.00 ns, 4.4375 ns/op

OverheadActual   1: 128 op, 662.00 ns, 5.1719 ns/op
OverheadActual   2: 128 op, 510.00 ns, 3.9844 ns/op
OverheadActual   3: 128 op, 500.00 ns, 3.9062 ns/op
OverheadActual   4: 128 op, 515.00 ns, 4.0234 ns/op
OverheadActual   5: 128 op, 503.00 ns, 3.9297 ns/op
OverheadActual   6: 128 op, 462.00 ns, 3.6094 ns/op
OverheadActual   7: 128 op, 537.00 ns, 4.1953 ns/op
OverheadActual   8: 128 op, 460.00 ns, 3.5938 ns/op
OverheadActual   9: 128 op, 458.00 ns, 3.5781 ns/op
OverheadActual  10: 128 op, 473.00 ns, 3.6953 ns/op
OverheadActual  11: 128 op, 473.00 ns, 3.6953 ns/op
OverheadActual  12: 128 op, 478.00 ns, 3.7344 ns/op
OverheadActual  13: 128 op, 494.00 ns, 3.8594 ns/op
OverheadActual  14: 128 op, 481.00 ns, 3.7578 ns/op
OverheadActual  15: 128 op, 480.00 ns, 3.7500 ns/op
OverheadActual  16: 128 op, 487.00 ns, 3.8047 ns/op

WorkloadWarmup   1: 128 op, 788108498.00 ns, 6.1571 ms/op
WorkloadWarmup   2: 128 op, 773635397.00 ns, 6.0440 ms/op
WorkloadWarmup   3: 128 op, 781400887.00 ns, 6.1047 ms/op
WorkloadWarmup   4: 128 op, 804467901.00 ns, 6.2849 ms/op
WorkloadWarmup   5: 128 op, 802422226.00 ns, 6.2689 ms/op
WorkloadWarmup   6: 128 op, 803751532.00 ns, 6.2793 ms/op
WorkloadWarmup   7: 128 op, 781221371.00 ns, 6.1033 ms/op

// BeforeActualRun
WorkloadActual   1: 128 op, 789230428.00 ns, 6.1659 ms/op
WorkloadActual   2: 128 op, 800258278.00 ns, 6.2520 ms/op
WorkloadActual   3: 128 op, 772057151.00 ns, 6.0317 ms/op
WorkloadActual   4: 128 op, 794915203.00 ns, 6.2103 ms/op
WorkloadActual   5: 128 op, 809903903.00 ns, 6.3274 ms/op
WorkloadActual   6: 128 op, 828383004.00 ns, 6.4717 ms/op
WorkloadActual   7: 128 op, 792481463.00 ns, 6.1913 ms/op
WorkloadActual   8: 128 op, 790472141.00 ns, 6.1756 ms/op
WorkloadActual   9: 128 op, 790021662.00 ns, 6.1720 ms/op
WorkloadActual  10: 128 op, 826224299.00 ns, 6.4549 ms/op
WorkloadActual  11: 128 op, 843057123.00 ns, 6.5864 ms/op
WorkloadActual  12: 128 op, 788561303.00 ns, 6.1606 ms/op
WorkloadActual  13: 128 op, 791883603.00 ns, 6.1866 ms/op
WorkloadActual  14: 128 op, 794416438.00 ns, 6.2064 ms/op
WorkloadActual  15: 128 op, 794772001.00 ns, 6.2092 ms/op

// AfterActualRun
WorkloadResult   1: 128 op, 789229944.00 ns, 6.1659 ms/op
WorkloadResult   2: 128 op, 800257794.00 ns, 6.2520 ms/op
WorkloadResult   3: 128 op, 772056667.00 ns, 6.0317 ms/op
WorkloadResult   4: 128 op, 794914719.00 ns, 6.2103 ms/op
WorkloadResult   5: 128 op, 809903419.00 ns, 6.3274 ms/op
WorkloadResult   6: 128 op, 828382520.00 ns, 6.4717 ms/op
WorkloadResult   7: 128 op, 792480979.00 ns, 6.1913 ms/op
WorkloadResult   8: 128 op, 790471657.00 ns, 6.1756 ms/op
WorkloadResult   9: 128 op, 790021178.00 ns, 6.1720 ms/op
WorkloadResult  10: 128 op, 826223815.00 ns, 6.4549 ms/op
WorkloadResult  11: 128 op, 788560819.00 ns, 6.1606 ms/op
WorkloadResult  12: 128 op, 791883119.00 ns, 6.1866 ms/op
WorkloadResult  13: 128 op, 794415954.00 ns, 6.2064 ms/op
WorkloadResult  14: 128 op, 794771517.00 ns, 6.2092 ms/op
GC:  127 63 63 882897960 128
Threading:  2 0 128

// AfterAll
// Benchmark Process 14702 has exited with code 0

Mean = 6.2297 ms, StdErr = 0.0313 ms (0.50%); N = 14, StdDev = 0.1171 ms
Min = 6.0317 ms, Q1 = 6.1720 ms, Median = 6.1988 ms, Q3 = 6.2520 ms, Max = 6.4717 ms
IQR = 0.0800 ms, LowerFence = 6.0521 ms, UpperFence = 6.3720 ms
ConfidenceInterval = [6.0976 ms; 6.3618 ms] (CI 99.9%), Margin = 0.1321 ms (2.12% of Mean)
Skewness = 0.79, Kurtosis = 2.92, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/ConsoleApp1.CompareArrayBuilderAndToList-report.csv
  BenchmarkDotNet.Artifacts/results/ConsoleApp1.CompareArrayBuilderAndToList-report-github.md
  BenchmarkDotNet.Artifacts/results/ConsoleApp1.CompareArrayBuilderAndToList-report.html

// * Detailed results *
CompareArrayBuilderAndToList.ToListClasses: DefaultJob [_count=100000]
Runtime = .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT; GC = Concurrent Workstation
Mean = 6.3206 ms, StdErr = 0.0238 ms (0.38%); N = 15, StdDev = 0.0922 ms
Min = 6.1927 ms, Q1 = 6.2402 ms, Median = 6.3136 ms, Q3 = 6.3920 ms, Max = 6.4804 ms
IQR = 0.1518 ms, LowerFence = 6.0126 ms, UpperFence = 6.6197 ms
ConfidenceInterval = [6.2220 ms; 6.4191 ms] (CI 99.9%), Margin = 0.0986 ms (1.56% of Mean)
Skewness = 0.31, Kurtosis = 1.62, MValue = 2
-------------------- Histogram --------------------
[6.160 ms ; 6.333 ms) | @@@@@@@@@
[6.333 ms ; 6.513 ms) | @@@@@@
---------------------------------------------------

CompareArrayBuilderAndToList.BuildMyListClasses: DefaultJob [_count=100000]
Runtime = .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT; GC = Concurrent Workstation
Mean = 6.2297 ms, StdErr = 0.0313 ms (0.50%); N = 14, StdDev = 0.1171 ms
Min = 6.0317 ms, Q1 = 6.1720 ms, Median = 6.1988 ms, Q3 = 6.2520 ms, Max = 6.4717 ms
IQR = 0.0800 ms, LowerFence = 6.0521 ms, UpperFence = 6.3720 ms
ConfidenceInterval = [6.0976 ms; 6.3618 ms] (CI 99.9%), Margin = 0.1321 ms (2.12% of Mean)
Skewness = 0.79, Kurtosis = 2.92, MValue = 2
-------------------- Histogram --------------------
[5.989 ms ; 6.124 ms) | @
[6.124 ms ; 6.353 ms) | @@@@@@@@@@@
[6.353 ms ; 6.514 ms) | @@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.0, OS=macOS 10.15.2 (19C57) [Darwin 19.2.0]
Intel Core i7-9750H CPU 2.60GHz, 1 CPU, 12 logical and 6 physical cores
.NET Core SDK=3.0.100
  [Host]     : .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
