// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/evgenijterehin/RiderProjects/ConsoleApp1/ArraysBenchmark/bin/Release/netcoreapp3.0/f99d2594-75df-4375-902b-8b4ae2e75ef4
// command took 0.95s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/evgenijterehin/RiderProjects/ConsoleApp1/ArraysBenchmark/bin/Release/netcoreapp3.0/f99d2594-75df-4375-902b-8b4ae2e75ef4
// command took 1.78s and exited with 0
// ***** Done, took 00:00:02 (2.83 sec)   *****
// Found 2 benchmarks:
//   CompareArraysBuildersBenchmark.AsList: DefaultJob [_count=8193]
//   CompareArraysBuildersBenchmark.WithChunks: DefaultJob [_count=8193]

// **************************
// Benchmark: CompareArraysBuildersBenchmark.AsList: DefaultJob [_count=8193]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "f99d2594-75df-4375-902b-8b4ae2e75ef4.dll" --benchmarkName "ConsoleApp1.CompareArraysBuildersBenchmark.AsList(_count: 8193)" --job "Default" --benchmarkId 0 in /Users/evgenijterehin/RiderProjects/ConsoleApp1/ArraysBenchmark/bin/Release/netcoreapp3.0/f99d2594-75df-4375-902b-8b4ae2e75ef4/bin/Release/netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 313834.00 ns, 313.8340 us/op
WorkloadJitting  1: 1 op, 4085286.00 ns, 4.0853 ms/op

OverheadJitting  2: 16 op, 239062.00 ns, 14.9414 us/op
WorkloadJitting  2: 16 op, 9912012.00 ns, 619.5008 us/op

WorkloadPilot    1: 16 op, 7772298.00 ns, 485.7686 us/op
WorkloadPilot    2: 32 op, 18637368.00 ns, 582.4177 us/op
WorkloadPilot    3: 64 op, 39501473.00 ns, 617.2105 us/op
WorkloadPilot    4: 128 op, 67946780.00 ns, 530.8342 us/op
WorkloadPilot    5: 256 op, 115469342.00 ns, 451.0521 us/op
WorkloadPilot    6: 512 op, 205108012.00 ns, 400.6016 us/op
WorkloadPilot    7: 1024 op, 382157706.00 ns, 373.2009 us/op
WorkloadPilot    8: 2048 op, 758296783.00 ns, 370.2621 us/op

OverheadWarmup   1: 2048 op, 5676.00 ns, 2.7715 ns/op
OverheadWarmup   2: 2048 op, 3088.00 ns, 1.5078 ns/op
OverheadWarmup   3: 2048 op, 3119.00 ns, 1.5229 ns/op
OverheadWarmup   4: 2048 op, 3307.00 ns, 1.6147 ns/op
OverheadWarmup   5: 2048 op, 3092.00 ns, 1.5098 ns/op
OverheadWarmup   6: 2048 op, 3021.00 ns, 1.4751 ns/op
OverheadWarmup   7: 2048 op, 22538.00 ns, 11.0049 ns/op
OverheadWarmup   8: 2048 op, 3193.00 ns, 1.5591 ns/op

OverheadActual   1: 2048 op, 3169.00 ns, 1.5474 ns/op
OverheadActual   2: 2048 op, 3173.00 ns, 1.5493 ns/op
OverheadActual   3: 2048 op, 3228.00 ns, 1.5762 ns/op
OverheadActual   4: 2048 op, 3236.00 ns, 1.5801 ns/op
OverheadActual   5: 2048 op, 3290.00 ns, 1.6064 ns/op
OverheadActual   6: 2048 op, 3220.00 ns, 1.5723 ns/op
OverheadActual   7: 2048 op, 3227.00 ns, 1.5757 ns/op
OverheadActual   8: 2048 op, 3201.00 ns, 1.5630 ns/op
OverheadActual   9: 2048 op, 3262.00 ns, 1.5928 ns/op
OverheadActual  10: 2048 op, 3402.00 ns, 1.6611 ns/op
OverheadActual  11: 2048 op, 3134.00 ns, 1.5303 ns/op
OverheadActual  12: 2048 op, 4804.00 ns, 2.3457 ns/op
OverheadActual  13: 2048 op, 5381.00 ns, 2.6274 ns/op
OverheadActual  14: 2048 op, 3255.00 ns, 1.5894 ns/op
OverheadActual  15: 2048 op, 3991.00 ns, 1.9487 ns/op

WorkloadWarmup   1: 2048 op, 813346848.00 ns, 397.1420 us/op
WorkloadWarmup   2: 2048 op, 1045216022.00 ns, 510.3594 us/op
WorkloadWarmup   3: 2048 op, 1018875634.00 ns, 497.4979 us/op
WorkloadWarmup   4: 2048 op, 1158623986.00 ns, 565.7344 us/op
WorkloadWarmup   5: 2048 op, 1341174647.00 ns, 654.8704 us/op
WorkloadWarmup   6: 2048 op, 1331190971.00 ns, 649.9956 us/op

// BeforeActualRun
WorkloadActual   1: 2048 op, 1156782946.00 ns, 564.8354 us/op
WorkloadActual   2: 2048 op, 1158842174.00 ns, 565.8409 us/op
WorkloadActual   3: 2048 op, 1134887464.00 ns, 554.1443 us/op
WorkloadActual   4: 2048 op, 925018814.00 ns, 451.6693 us/op
WorkloadActual   5: 2048 op, 939270988.00 ns, 458.6284 us/op
WorkloadActual   6: 2048 op, 941427058.00 ns, 459.6812 us/op
WorkloadActual   7: 2048 op, 802054742.00 ns, 391.6283 us/op
